riding_id,riding_name,inc_fname,inc_lname,overview,article_link1,article_headline1,article_link2,article_headline2,article_link3,article_headline3
101,Cape Breton--Canso,Mike,Kelloway,,,,,,,
235,Cardigan,Lawrence,MacAulay,,,,,,,
210,Cariboo--Prince George,Todd,Doherty,,,,,,,
315,Carleton,Pierre,Poilievre,,,,,,,
257,Carlton Trail--Eagle Creek,Kelly,Block,,,,,,,
102,Central Nova,Sean,Fraser,,,,,,,
211,Central Okanagan--Similkameen--Nicola,Dan,Albas,,,,,,,
51,Charlesbourg--Haute-Saint-Charles,Pierre,Paul-Hus,,,,,,,
228,Charleswood--St. James--Assiniboia--Headingley,Marty,Morantz,,,,,,,
236,Charlottetown,Sean,Casey,,,,,,,
40,Châteauguay--Lacolle,Brenda,Shanahan,,,,,,,
132,Chatham-Kent--Leamington,Dave,Epp,,,,,,,
41,Chicoutimi--Le Fjord,Richard,Martel,,,,,,,
168,Chilliwack--Hope,Mark,Strahl,,,,,,,
229,Churchill--Keewatinook Aski,Niki,Ashton,,,,,,,
166,Cloverdale--Langley City,Tamara,Jansen,,,,,,,
12,Coast of Bays--Central--Notre Dame,Clifford,Small,,,,,,,
42,Compton--Stanstead,Marie-Claude,Bibeau,,,,,,,
169,Coquitlam--Port Coquitlam,Ron,McKinnon,,,,,,,
170,Courtenay--Alberni,Gord,Johns,,,,,,,
171,Courtenay--Alberni,Gord,Johns,,,,,,,
172,Cowichan--Malahat--Langford,Alistair,MacGregor,,,,,,,
103,Cumberland--Colchester,Stephen,Ellis,,,,,,,
255,Cypress Hills--Grasslands,Jeremy,Patzer,,,,,,,
100,Dartmouth--Cole Harbour,Darren,Fisher,,,,,,,
230,Dauphin--Swan River--Neepawa,Dan,Mazier,,,,,,,
152,Davenport,Julie,Dzerowicz,,,,,,,
7,Delta,Carla,Qualtrough,,,,,,,
256,Desnethé--Missinippi--Churchill River,Gary,Vidal,,,,,,,
154,Don Valley East,Michael,Coteau,,,,,,,
153,Don Valley North,Han,Dong,,,,,,,
285,Don Valley West,Robert,Oliphant,,,,,,,
50,Dorval--Lachine--LaSalle,Anju,Dhillon,,,,,,,
43,Drummond,Martin,Champoux,,,,,,,
289,Dufferin--Caledon,Kyle,Seeback,,,,,,,
290,Durham,Jamil,Jivani,,,,,,,
167,Edmonton Centre,Randy,Boissonnault,,,,,,,
179,Edmonton Griesbach,Blake,Desjarlais,,,,,,,
180,Edmonton Manning,Ziad,Aboultaif,,,,,,,
181,Edmonton Mill Woods,Tim,Uppal,,,,,,,
193,Edmonton Riverbend,Matt,Jeneroux,,,,,,,
47,Edmonton Strathcona,Heather,McPherson,,,,,,,
48,Edmonton West,Kelly,McCauley,,,,,,,
49,Edmonton--Wetaskiwin,Mike,Lake,,,,,,,
306,Eglinton--Lawrence,Marco,Mendicino,,,,,,,
237,Egmont,Robert,Morrissey,,,,,,,
291,Elgin--Middlesex--London,Karen,Vecchio,,,,,,,
232,Elmwood--Transcona,Leila,Dance,,,,,,,
64,Esquimalt--Saanich--Sooke,vacant,,,,,,,,
286,Essex,Chris,Lewis,,,,,,,
266,Etobicoke Centre,Yvan,Baker,,,,,,,
280,Etobicoke North,Kirsty,Duncan,,,,,,,
270,Etobicoke--Lakeshore,James,Maloney,,,,,,,
281,Flamborough--Glanbrook,Dan,Muys,,,,,,,
8,Fleetwood--Port Kells,Ken,Hardie,,,,,,,
182,Foothills,John,Barlow,,,,,,,
183,Fort McMurray--Cold Lake,Laila,Goodridge,,,,,,,
219,Fredericton,Jenica,Atwin,,,,,,,
220,Fundy Royal,Rob,Moore,,,,,,,
72,Gaspésie--Les Îles-de-la-Madeleine,Diane,Lebouthillier,,,,,,,
76,Gaspésie--Les Îles-de-la-Madeleine,Diane,Lebouthillier,,,,,,,
73,Gatineau,Steven,MacKinnon,,,,,,,
282,Glengarry--Prescott--Russell,Francis,Drouin,,,,,,,
197,Grande Prairie--Mackenzie,Chris,Warkentin,,,,,,,
292,Guelph,Lloyd,Longfield,,,,,,,
283,Haldimand--Norfolk,Leslyn,Lewis,,,,,,,
284,Haliburton--Kawartha Lakes--Brock,Jamie,Schmale,,,,,,,
104,Halifax,vacant,,,,,,,,
105,Halifax,vacant,,,,,,,,
106,Halifax West,Lena Metlege,Diab,,,,,,,
296,Hamilton Centre,Matthew,Green,,,,,,,
293,Hamilton East--Stoney Creek,Chad,Collins,,,,,,,
294,Hamilton Mountain,Lisa,Hepfner,,,,,,,
295,Hamilton West--Ancaster--Dundas,Filomena,Tassi,,,,,,,
297,Hastings--Lennox and Addington,Shelby,Kramp-Neuman,,,,,,,
74,Hochelaga,Soraya,Martinez Ferrada,,,,,,,
75,Honoré-Mercier,vacant,,,,,,,,
77,Hull--Aylmer,Greg,Fergus,,,,,,,
91,Humber River--Black Creek,Judy A.,Sgro,,,,,,,
298,Huron--Bruce,Ben,Lobb,,,,,,,
78,Joliette,Gabriel,Ste-Marie,,,,,,,
79,Jonquière,Mario,Simard,,,,,,,
272,Kamloops--Thompson--Cariboo,Frank,Caputo,,,,,,,
312,Kanata--Carleton,Jenna,Sudds,,,,,,,
274,Kelowna--Lake Country,Tracy,Gray,,,,,,,
299,Kenora,Eric,Melillo,,,,,,,
241,Kildonan--St. Paul,Raquel,Dancho,,,,,,,
300,King--Vaughan,Anna,Roberts,,,,,,,
107,Kings--Hants,Kody,Blois,,,,,,,
313,Kingston and the Islands,Mark,Gerretsen,,,,,,,
321,Kitchener Centre,Mike,Morrice,,,,,,,
318,Kitchener South--Hespeler,Valerie,Bradford,,,,,,,
317,Kitchener--Conestoga,Tim,Louis,,,,,,,
273,Kootenay--Columbia,Rob,Morrison,,,,,,,
80,La Pointe-de-l'Île,Mario,Beaulieu,,,,,,,
117,La Prairie,Alain,Therrien,,,,,,,
13,Labrador,Yvonne,Jones,,,,,,,
81,Lac-Saint-Jean,Alexis,Brunelle-Duceppe,,,,,,,
116,Lac-Saint-Louis,Francis,Scarpaleggia,,,,,,,
271,Lakeland,Shannon,Stubbs,,,,,,,
319,Lambton--Kent--Middlesex,Lianne,Rood,,,,,,,
320,Lanark--Frontenac--Kingston,Scott,Reid,,,,,,,
275,Langley--Aldergrove,Tako,Van Popta,,,,,,,
118,LaSalle--Émard--Verdun,Louis-Philippe,Sauvé,,,,,,,
147,Laurentides--Labelle,Marie-Hélène,Gaudreau,,,,,,,
148,Laurier--Sainte-Marie,Steven,Guilbeault,,,,,,,
155,Laval--Les Îles,Fayçal,El-Khoury,,,,,,,
322,Leeds--Grenville--Thousand Islands and Rideau Lakes,Michael,Barrett,,,,,,,
194,Lethbridge,Rachael,Thomas,,,,,,,
157,Lévis--Lotbinière,Jacques,Gourde,,,,,,,
326,London North Centre,Peter,Fragiskatos,,,,,,,
302,London West,Arielle,Kayabaga,,,,,,,
301,London--Fanshawe,Lindsay,Mathyssen,,,,,,,
10,Long Range Mountains,Gudie,Hutchings,,,,,,,
156,Longueuil--Charles-LeMoyne,Sherry,Romanado,,,,,,,
160,Longueuil--Saint-Hubert,Denis,Trudel,,,,,,,
161,Louis-Hébert,Joël,Lightbound,,,,,,,
162,Louis-Saint-Laurent,Gérard,Deltell,,,,,,,
221,Madawaska--Restigouche,René,Arseneault,,,,,,,
244,Malpeque,Heath,MacDonald,,,,,,,
163,Manicouagan,Marilène,Gill,,,,,,,
164,Manicouagan,Marilène,Gill,,,,,,,
165,Manicouagan,Marilène,Gill,,,,,,,
1,Marc-Aurèle-Fortin,Yves,Robillard,,,,,,,
303,Markham--Stouffville,Helena,Jaczek,,,,,,,
327,Markham--Thornhill,Mary,Ng,,,,,,,
222,Markham--Unionville,Paul,Chiang,,,,,,,
195,Medicine Hat--Cardston--Warner,Glen,Motz,,,,,,,
174,Mégantic--L'Érable,Luc,Berthold,,,,,,,
223,Milton,Adam,van Koeverden,,,,,,,
173,Mirabel,Jean-Denis,Garon,,,,,,,
213,Miramichi--Grand Lake,Jake,Stewart,,,,,,,
276,Mission--Matsqui--Fraser Canyon,Brad,Vis,,,,,,,
226,Mississauga Centre,Omar,Alghabra,,,,,,,
224,Mississauga East--Cooksville,Peter,Fonseca,,,,,,,
225,Mississauga--Erin Mills,Iqra,Khalid,,,,,,,
233,Mississauga--Lakeshore,Charles,Sousa,,,,,,,
234,Mississauga--Malton,Iqwinder,Gaheer,,,,,,,
238,Mississauga--Streetsville,Rechie,Valdez,,,,,,,
212,Moncton--Riverview--Dieppe,Ginette,Petitpas Taylor,,,,,,,
175,Montarville,Stéphane,Bergeron,,,,,,,
176,Montcalm,Luc,Thériault,,,,,,,
177,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Bernard,Généreux,,,,,,,
258,Moose Jaw--Lake Centre--Lanigan,Fraser,Tolmie,,,,,,,
178,Mount Royal,Anthony,Housefather,,,,,,,
277,Nanaimo--Ladysmith,Lisa Marie,Barron,,,,,,,
239,Nepean,Chandra,Arya,,,,,,,
214,New Brunswick Southwest,John,Williamson,,,,,,,
278,New Westminster--Burnaby,Peter,Julian,,,,,,,
240,Newmarket--Aurora,Tony,Van Bynen,,,,,,,
133,Niagara Centre,Vance,Badawey,,,,,,,
134,Niagara Falls,Tony,Baldinelli,,,,,,,
149,Niagara West,Dean,Allison,,,,,,,
267,Nickel Belt,Marc,Serré,,,,,,,
135,Nipissing--Timiskaming,Anthony,Rota,,,,,,,
121,North Island--Powell River,Rachel,Blaney,,,,,,,
279,North Okanagan--Shuswap,Mel,Arnold,,,,,,,
46,North Vancouver,Jonathan,Wilkinson,,,,,,,
136,Northumberland--Peterborough South,Philip,Lawrence,,,,,,,
93,Northwest Territories,Michael,McLeod,,,,,,,
184,Notre-Dame-de-Grâce--Westmount,Anna,Gainey,,,,,,,
94,Nunavut,Lori,Idlout,,,,,,,
146,Oakville,Anita,Anand,,,,,,,
33,Oakville North--Burlington,Pam,Damoff,,,,,,,
331,Orléans,Marie-France,Lalonde,,,,,,,
31,Oshawa,Colin,Carrie,,,,,,,
52,Ottawa Centre,Yasir,Naqvi,,,,,,,
332,Ottawa South,David,McGuinty,,,,,,,
342,Ottawa West--Nepean,Anita,Vandenbeld,,,,,,,
341,Ottawa--Vanier,Mona,Fortier,,,,,,,
185,Outremont,Rachel,Bendayan,,,,,,,
304,Oxford,Arpan,Khanna,,,,,,,
186,Papineau,Justin,Trudeau,,,,,,,
305,Parkdale--High Park,Arif,Virani,,,,,,,
307,Parry Sound--Muskoka,Scott,Aitchison,,,,,,,
196,Peace River--Westlock,Arnold,Viersen,,,,,,,
308,Perth--Wellington,John,Nater,,,,,,,
309,Peterborough--Kawartha,Michelle,Ferreri,,,,,,,
310,Pickering--Uxbridge,Jennifer,O'Connell,,,,,,,
30,Pierre-Boucher--Les Patriotes--Verchères,Xavier,Barsalou-Duval,,,,,,,
187,Pierrefonds--Dollard,Sameer,Zuberi,,,,,,,
54,Pitt Meadows--Maple Ridge,Marc,Dalton,,,,,,,
188,Pontiac,Sophie,Chatel,,,,,,,
62,Port Moody--Coquitlam,Bonita,Zarrillo,,,,,,,
242,Portage--Lisgar,Branden,Leslie,,,,,,,
189,Portneuf--Jacques-Cartier,Joël,Godin,,,,,,,
259,Prince Albert,Randy,Hoback,,,,,,,
55,Prince George--Peace River--Northern Rockies,Bob,Zimmer,,,,,,,
243,Provencher,Ted,Falk,,,,,,,
204,Québec,Jean-Yves,Duclos,,,,,,,
199,Red Deer--Lacombe,Blaine,Calkins,,,,,,,
198,Red Deer--Mountain View,Earl,Dreeshen,,,,,,,
262,Regina--Lewvan,Warren,Steinley,,,,,,,
260,Regina--Qu'Appelle,Andrew,Scheer,,,,,,,
261,Regina--Wascana,Michael,Kram,,,,,,,
311,Renfrew--Nipissing--Pembroke,Cheryl,Gallant,,,,,,,
190,Repentigny,Monique,Pauzé,,,,,,,
63,Richmond Centre,Wilson,Miao,,,,,,,
314,Richmond Hill,Majid,Jowhari,,,,,,,
191,Richmond--Arthabaska,Alain,Rayes,,,,,,,
38,Rimouski-Neigette--Témiscouata--Les Basques,Maxime,Blanchette-Joncas,,,,,,,
192,Rivière-des-Mille-Îles,Luc,Desilets,,,,,,,
205,Rivière-du-Nord,Rhéal Éloi,Fortin,,,,,,,
206,Rosemont--La Petite-Patrie,Alexandre,Boulerice,,,,,,,
65,Saanich--Gulf Islands,Elizabeth,May,,,,,,,
108,Sackville--Preston--Chezzetcook,Darrell,Samson,,,,,,,
245,Saint Boniface--Saint Vital,Dan,Vandal,,,,,,,
215,Saint John--Rothesay,Wayne,Long,,,,,,,
2,Saint-Hyacinthe--Bagot,Simon-Pierre,Savard-Tremblay,,,,,,,
3,Saint-Jean,Christine,Normandin,,,,,,,
19,Saint-Laurent,Emmanuella,Lambropoulos,,,,,,,
4,Saint-Léonard--Saint-Michel,Patricia,Lattanzio,,,,,,,
5,Saint-Maurice--Champlain,François-Philippe,Champagne,,,,,,,
6,Salaberry--Suroît,Claude,DeBellefeuille,,,,,,,
324,Sarnia--Lambton,Marilyn,Gladu,,,,,,,
287,Saskatoon West,Brad,Redekopp,,,,,,,
263,Saskatoon--Grasswood,Kevin,Waugh,,,,,,,
264,Saskatoon--University,Corey,Tochor,,,,,,,
268,Sault Ste. Marie,Terry,Sheehan,,,,,,,
328,Scarborough Centre,Salma,Zahid,,,,,,,
330,Scarborough North,Shaun,Chen,,,,,,,
333,Scarborough Southwest,Bill,Blair,,,,,,,
325,Scarborough--Agincourt,Jean,Yip,,,,,,,
329,Scarborough--Guildwood,John,McKay,,,,,,,
334,Scarborough--Rouge Park,Gary,Anandasangaree,,,,,,,
246,Selkirk--Interlake--Eastman,James,Bezan,,,,,,,
247,Selkirk--Interlake--Eastman,James,Bezan,,,,,,,
249,Selkirk--Interlake--Eastman,James,Bezan,,,,,,,
250,Selkirk--Interlake--Eastman,James,Bezan,,,,,,,
18,Shefford,Andréanne,Larouche,,,,,,,
20,Sherbrooke,Élisabeth,Brière,,,,,,,
201,Sherwood Park--Fort Saskatchewan,Garnett,Genuis,,,,,,,
336,Simcoe North,Adam,Chambers,,,,,,,
335,Simcoe--Grey,Terry,Dowdall,,,,,,,
83,Skeena--Bulkley Valley,Taylor,Bachrach,,,,,,,
288,Souris--Moose Mountain,Robert,Kitchen,,,,,,,
84,South Okanagan--West Kootenay,Richard,Cannings,,,,,,,
109,South Shore--St. Margarets,Rick,Perkins,,,,,,,
85,South Surrey--White Rock,Kerry-Lynne,Findlay,,,,,,,
337,Spadina--Fort York,Kevin,Vuong,,,,,,,
200,St. Albert--Edmonton,Michael,Cooper,,,,,,,
316,St. Catharines,Chris,Bittle,,,,,,,
14,St. John's East,Joanne,Thompson,,,,,,,
15,St. John's South--Mount Pearl,Seamus,O'Regan,,,,,,,
86,Steveston--Richmond East,Parm,Bains,,,,,,,
338,Stormont--Dundas--South Glengarry,Eric,Duncan,,,,,,,
202,Sturgeon River--Parkland,Dane,Lloyd,,,,,,,
339,Sudbury,Viviane,Lapointe,,,,,,,
82,Surrey Centre,Randeep,Sarai,,,,,,,
120,Surrey--Newton,Sukh,Dhaliwal,,,,,,,
110,Sydney--Victoria,Jaime,Battiste,,,,,,,
61,Terrebonne,Nathalie,Sinclair-Desgagné,,,,,,,
60,Thérèse-De Blainville,Louise,Chabot,,,,,,,
343,Thornhill,Melissa,Lantsman,,,,,,,
340,Thunder Bay--Rainy River,Marcus,Powlowski,,,,,,,
269,Thunder Bay--Superior North,Patty,Hajdu,,,,,,,
344,Timmins--James Bay,Charlie,Angus,,,,,,,
216,Tobique--Mactaquac,Richard,Bragdon,,,,,,,
345,Toronto Centre,Marci,Ien,,,,,,,
346,Toronto--Danforth,Julie,Dabrusin,,,,,,,
323,Toronto--St. Paul's,Don,Stewart,,,,,,,
32,Trois-Rivières,René,Villemure,,,,,,,
347,University--Rosedale,Chrystia,Freeland,,,,,,,
122,Vancouver Centre,Hedy,Fry,,,,,,,
123,Vancouver East,Jenny,Kwan,,,,,,,
119,Vancouver Granville,Taleeb,Noormohamed,,,,,,,
137,Vancouver Kingsway,Don,Davies,,,,,,,
138,Vancouver Quadra,Joyce,Murray,,,,,,,
139,Vancouver South,Harjit S.,Sajjan,,,,,,,
59,Vaudreuil--Soulanges,Peter,Schiefke,,,,,,,
56,Vaughan--Woodbridge,Francesco,Sorbara,,,,,,,
140,Victoria,Laurel,Collins,,,,,,,
44,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Marc,Miller,,,,,,,
45,Vimy,Annie,Koutrakis,,,,,,,
57,Waterloo,Bardish,Chagger,,,,,,,
58,Wellington--Halton Hills,Michael,Chong,,,,,,,
111,West Nova,Chris,d'Entremont,,,,,,,
141,West Vancouver--Sunshine Coast--Sea to Sky Country,Patrick,Weiler,,,,,,,
66,Whitby,Ryan,Turnbull,,,,,,,
67,Willowdale,Ali,Ehsassi,,,,,,,
88,Windsor West,Brian,Masse,,,,,,,
87,Windsor--Tecumseh,Irek,Kusmierczyk,,,,,,,
251,Winnipeg Centre,Leah,Gazan,,,,,,,
253,Winnipeg North,Kevin,Lamoureux,,,,,,,
248,Winnipeg South,Terry,Duguid,,,,,,,
252,Winnipeg South Centre,Ben,Carr,,,,,,,
203,Yellowhead,Gerald,Soroka,,,,,,,
90,York Centre,Ya'ara,Saks,,,,,,,
53,York South--Weston,Ahmed,Hussen,,,,,,,
89,York--Simcoe,Scot,Davidson,,,,,,,
265,Yorkton--Melville,Cathay,Wagantall,,,,,,,
92,Yukon,Brendan,Hanley,,,,,,,
