riding_id,riding_name,bq_can,ppc_can,ndp_can,cpc_can,lib_can,gp_can
130,Carleton,,,Beth Prokaska,Pierre Poilievre,Bruce Fanjoy,
248,Carlton Trail—Eagle Creek,,,Cheryl Loadman,Kelly Block,Katelyn Zimmer,
3,Central Newfoundland,,,Darian Vincent,Clifford Small,Lynette Powell,
14,Central Nova,,Charlie MacEachern,Jesiah MacDonald,Brycen Jenkins,Sean Fraser,
48,Charlesbourg—Haute-Saint-Charles,Bladimir Laborit Infante,Paul Cyr,Dominique Harrisson,Pierre Paul-Hus,Louis Bellemare,
9,Charlottetown,,Robert Lucas,Joe Byrne,Natalie Jameson,Sean Casey,
49,Châteauguay—Les Jardins-de-Napierville,Patrick O’Hara,Nicolas Guérin,Hannah Wolker,David De Repentigny,Nathalie Provost,
131,Chatham-Kent—Leamington,,Trevor Lee,,Dave Epp,Keith Pickard,
50,Chicoutimi—Le Fjord,Marc St-Hilaire,François Sabourin,Raphaël Émond,Richard Martel,Stéphane Proulx,
302,Chilliwack—Hope,,Jeff Galbraith,Teri Westerby,Mark Strahl,Zeeshan Khan,
234,Churchill—Keewatinook Aski,,,Niki Ashton,Lachlan DeNardi,Rebecca Chartrand,
303,Cloverdale—Langley City,,Jim McMurtry,Vanessa Sharma,Tamara Jansen,Kyle Latchford,
304,Columbia—Kootenay—Southern Rockies,,Laurie Baird,Kallee Lins,Rob Morrison,Reggie Goldsbury,
51,Compton—Stanstead,Nathalie Bresse,Paul Lehmann,Valerie Laliberté,Jacques Painchaud,Marianne Dandurand,
305,Coquitlam—Port Coquitlam,,,Laura Dupont,Iain Black,Ron McKinnon,
52,Côte-du-Sud—Rivière-du-Loup—Kataskomiq—Témiscouata,Diane Sénécal,Jean-François Morin,Iseult L'Heureux-Hubert,Bernard Genereux,Rémi Massé,
53,Côte-Nord—Kawawachikamach—Nitassinan,Marilène Gill,,Marika Lalime,Melanie Dorion,Kevin Coutu,
306,Courtenay—Alberni,,Thomas Gamble,Gord Johns,Kris McNichol,Brian Cameron,Chris Markevich
307,Cowichan—Malahat—Langford,,,Alistair MacGregor,Jeffrey Kibble,Blair Herbert,
15,Cumberland—Colchester,,Paul Church,Larry Duchesne,Stephen Ellis,Alana Hirtle,
16,Dartmouth—Cole Harbour,,Michelle Lindsay,Keith Morrison,Isabelle Obeid,Darren Fisher,
132,Davenport,,,Sandra Sousa,Francis Lavoie,Julie Dzerowicz,
308,Delta,,,Jason McCormick,Jessy Sahota,Jill McKnight,
249,Desnethé—Missinippi—Churchill River,,,Doug Racine,Jim Lemaigre,Buckley Belanger,
133,Don Valley North,,Ivan Milivojevic,Naila Saeed,Joe Tay,Maggie Chi,
134,Don Valley West,,,Linnea Löfström-Abary,Robert Pierce,Rob Oliphant,
54,Dorval—Lachine—LaSalle,Pauline Postel,Michael Patterson,Angélique Soleil Lavoie,Alioune Sarr,Anju Dhillon,
55,Drummond,Martin Champoux,,François Choquette,François Fréchette,Ghada Jerbi,
135,Dufferin—Caledon,,Dympna Carolan,Viktor Karklins,Kyle Seeback,Malalai Halimi,
275,Edmonton Centre,,John Ross,Trisha Estabrooks,Sayid Ahmed,Eleanor Olszewski,
276,Edmonton Gateway,,Paul McCormack,Madeline Mayes,Tim Uppal,Jeremy Hoefsloot,
277,Edmonton Griesbach,,Thomas Matty,Blake Desjarlais,Kerry Diotte,Patrick Lennox,
278,Edmonton Manning,,Robert Bard,Lesley Thompson,Ziad Aboultaif,Blair-Marie Coles,
279,Edmonton Northwest,,Albert Carson,Omar Abubakar,Billy Morin,Lindsey Machona,
280,Edmonton Riverbend,,Dwayne Dudiak,Susan Cake,Matt Jeneroux,Mark Minenko,
281,Edmonton Southeast,,,Harpreet Grewal,Jagsharan Singh Mahal,Amarjeet Sohi,
282,Edmonton Strathcona,,,Heather McPherson,Miles Berry,Ron Thiering,
283,Edmonton West,,Brent Kinzel,Sean McQuillan,Kelly McCauley,Brad Fournier,
136,Eglinton—Lawrence,,Timothy Gleeson,Allison Tanzola,Karen Stintz,Vince Gasparro,
10,Egmont,,,Carol Rybinski,Logan McLellan,Bobby Morrissey,
137,Elgin—St. Thomas—London South,,Stephen R. Campbell,Paul Pighin,Andrew Lawton,David Goodwin,
235,Elmwood—Transcona,,,Leila Dance,Colin Reynolds,Ian MacIntyre,
309,Esquimalt—Saanich—Sooke,,,Maja Tait,Grant Cool,Stephanie Mclean,
138,Essex,,Jason Henry,Lori Wightman,Chris Lewis,Chris Sutton,
139,Etobicoke Centre,,,Ji Won Jung,Ted Opitz,Yvan Baker,
141,Etobicoke North,,Andy D'Andrea,Cory Wagar,Natalie Weed,John Zerucelli,
140,Etobicoke—Lakeshore,,Thomas Fanjoy,Benjamin Abis,Bernard Trottier,James Maloney,
142,Flamborough—Glanbrook—Brant North,,Nikita Mahood,Peter Werhun,Dan Muys,Chuck Phillips,
310,Fleetwood—Port Kells,,John Hetherington,Shannon Permal,Sukh Pandher,Gurbux Saini,
284,Foothills,,Paul O'Halloran,Kaitte Aurora,John Barlow,John Bruinsma,
285,Fort McMurray—Cold Lake,,Alan Clarke,You-Ju Choi,Laila Goodridge,Kaitlyn Staines,
25,Fredericton—Oromocto,,Heather Michaud,Nicki Lyons-Macfarlane,Brian Macdonald,David Myles,Pamela Allen-LeBlanc
26,Fundy Royal,,Alastair MacFarlane,Cindy Andrie,Rob Moore,Bill Kudla,
56,Gaspésie—Les Îles-de-la-Madeleine—Listuguj,Alexis Deschênes,Christian Rioux,Denise Giroux,Jean-Pierre Pigeon,Diane Lebouthillier,
57,Gatineau,Richard Nadeau,Mathieu Saint-Jean,Daniel Simoncic,Kethlande Pierre,Steven MacKinnon,
286,Grande Prairie,,Shawn McLean,Jennifer Villebrun,Chris Warkentin,Maureen McLeod,
143,Guelph,,,Janice Folk-Dawson,Gurvir Khaira,Dominique O’Rourke,Anne-Marie Zajdlik
144,Haldimand—Norfolk,,Henry Geissler,Shannon Horner-Shepherd,Leslyn Lewis,Colin Walsh,
145,Haliburton—Kawartha Lakes,,Michael Penman,Aylea Teel,Jamie Schmale,Nell Thomas,
17,Halifax,,Maricar Aliasut,Lisa Roberts,Mark Boudreau,Shannon Miedema,
18,Halifax West,,Adam LeRue,Rae Tench,Rob Batherson,Lena Metlege Diab,
146,Hamilton Centre,,,Matthew Green,Hayden Lawrence,Aslam Rana,
147,Hamilton East—Stoney Creek,,Jim Boutsikakis,Nayla Mithani,Ned Kuruc,Chad Collins,
148,Hamilton Mountain,,,Monique Taylor,Ken Hewitt,Lisa Hepfner,
149,Hamilton West—Ancaster—Dundas,,,Roberto Henriquez,Erika Alexander,John-Paul Danko,
150,Hastings—Lennox and Addington—Tyendinaga,,,Ava Duffy,Shelby Kramp-Neuman,Tracey Sweeney Schenk,
58,Hochelaga—Rosemont-Est,Rose Lessard,,Julie Girard-Lemay,Carl Belley,Marie-Gabrielle Ménard,
59,Honoré-Mercier,Edline Henri,Marie-Louise Beauchamp,Djaouida Sellah,Ingrid Fernanda Megni,Eric St-Pierre,
60,Hull—Aylmer,Alice Grondin,Jean-Jacques Desgranges,Pascale Matecki,Jill Declare,Greg Fergus,
151,Humber River—Black Creek,,Marek Jasinski,Matias de Dovitiis,Bijay Paudel,Judy Sgro,
152,Huron—Bruce,,,Melanie Burrett,Ben Lobb,James Rice,
61,Joliette—Manawan,Gabriel Ste-Marie,,Vanessa Gordon,Pascal Bapfou Vozang Siewe,Marc Allaire,
62,Jonquière,Mario Simard,Patrick Gaudreault,Lise Garon,Fanny Boulanger,William Van Tassel,
311,Kamloops—Shuswap—Central Rockies,,Michael Henry,Phaedra Idzan,Mel Arnold,Ken Robertson,
312,Kamloops—Thompson—Nicola,,Chris Enns,Miguel Godau,Frank Caputo,Iain Currie,
153,Kanata,,,Melissa Simon,Greg Kung,Jenna Sudds,
154,Kapuskasing—Timmins—Mushkegowuk,,Serge Lefebvre,Nicole Fortier Levesque,Gaetan Malette,Steve Black,
313,Kelowna,,,Trevor McAleese,Tracy Gray,Steve Fuhr,
155,Kenora—Kiiwetinoong,,Bryce Desjarlais,Tania Cameron,Eric Melillo,Charles Fox,
236,Kildonan—St. Paul,,Erik Holmes,Emily Clark,Raquel Dancho,Thomas Naaykens,
157,King—Vaughan,,Vageesh Sabharwal,Samantha Sanchez,Anna Roberts,Mubarak Ahmed,
19,Kings—Hants,,Alex Cargill,Paul Doerr,Joel Hirtle,Kody Blois,
156,Kingston and the Islands,,,Daria Juüdi-Hope,Bryan Paterson,Mark Gerretsen,
158,Kitchener Centre,,Wasai Rahimi,Heather Zaleski,Kelly DeRidder,Brian Adeba,Mike Morrice
160,Kitchener South—Hespeler,,,Maya Bozorgzad,Matt Strauss,Valerie Bradford,
159,Kitchener—Conestoga,,Kevin Dupuis,Lorne Bruce,Doug Treleaven,Tim Louis,
63,La Pointe-de-l'Île,Mario Beaulieu,,Ghada Chaabi,Violetta Potapova,Viviane Minko,
64,La Prairie—Atateken,Alain Therrien,Ruth Fontaine,Mathieu Boisvert,Dave Pouliot,Jacques Ramsay,
4,Labrador,,,Marius Normore,Ella Wallace,Philip Earle,
65,Lac-Saint-Jean,Alexis Brunelle-Duceppe,Lorie Bouchard,Hugues Boily-Maltais,Dave Blackburn,Denis Lemieux,
66,Lac-Saint-Louis,Tommy Fournier,Mathieu Dufort,Gregory Evdokias,Matthew Rusniak,Francis Scarpaleggia,
287,Lakeland,,Michael Manchen,Des Bissonnette,Shannon Stubbs,Barry Milaney,
161,Lanark—Frontenac,,,Danielle Rae,Scott Reid,Michelle Foxton,
314,Langley Township—Fraser Heights,,Sepehr Haghighat,Holly Isaac,Tako van Popta,John Aldag,
67,LaSalle—Émard—Verdun,Louis-Philippe Sauvé,,Craig Sauvé,Zsolt Fischer,Claude Guay,
68,Laurentides—Labelle,Marie-Hélène Gaudreau,Amélie Charbonneau,Michel Noël de Tilly,Daniel Paquette,Emrick Vienneau,
69,Laurier—Sainte-Marie,Emmanuel Lapierre,Eugène Duplessis,Nimâ Machouf,Mathieu Fournier,Steven Guilbeault,
70,Laval—Les Îles,Catherine Dansereau-Redhead,,Étienne Loiselle-Schiettekatte,Konstantinos Merakos,Fayçal El-Khoury,
288,Leduc—Wetaskiwin,,Jose Flores,Katherine Swampy,Mike Lake,Ronald Brochu,
162,Leeds—Grenville—Thousand Islands—Rideau Lakes,,,Paul Lancione,Michael Barrett,Lorna Jean Edmonds,
71,Les Pays-d'en-Haut,Ariane Charbonneau,George Mogiljansky,Eric-Abel Baland,Vincent Leroux,Tim Watchorn,
289,Lethbridge,,Clara Piedalue,Nathan Svoboda,Rachael Thomas,Chris Spearman,
72,Lévis—Lotbinière,Pierre Julien,Pier-Olivier Roy,Molly Cornish,Jacques Gourde,Ghislain Daigle,
163,London Centre,,Dave Annis,Dirka Prout,Stephen Gallant,Peter Fragiskatos,
165,London West,,Tyson Moore,Shinade Allder,Adam Benni,Arielle Kayabaga,
164,London—Fanshawe,,Daniel Buta,Lindsay Mathyssen,Kurt Holman,Najam Naqvi,
5,Long Range Mountains,,Pamela Geiger,Sarah Parsons,Carol Anstey,Don Bradshaw,
73,Longueuil—Charles-LeMoyne,Beritan Oerde,Tiny Olinga,Marie-Andrée Gravel,Terry Roberts,Sherry Romanado,
74,Longueuil—Saint-Hubert,Denis Trudel,,Nesrine Benhadj,Martine Boucher,Natilien Joseph,
75,Louis-Hébert,Valérie Savard,Vatthana Maholy,Jean-Paul Lussiàà-Berdou,Claude Dussault,Joël Lightbound,
76,Louis-Saint-Laurent—Akiawenhrahk,Martin Trudel,Anthony Leclerc,Colette Amram Ducharme,Gerard Deltell,Rhode-Malaure Pierre,
27,Madawaska—Restigouche,,Nancy Mercier,Daisy Petersen,Michel Morin,Guillaume Deschênes-Thériault,
11,Malpeque,,Hilda Baughan,Cassie MacKay,Jamie Fox,Heath MacDonald,Anna Keenan
77,Marc-Aurèle-Fortin,Claude Tousignant,,,Janina Moran,Carlos Leitao,
166,Markham—Stouffville,,,Serena Cheung,Niran Jeyanesan,Helena Jaczek,
167,Markham—Thornhill,,Mimi Lee,Aftab Qureshi,Lionel Loganathan,Tim Hodgson,
168,Markham—Unionville,,,Sameer Qureshi,Michael Ma,Peter Yuen,
290,Medicine Hat—Cardston—Warner,,,Jocelyn Johnson,Glen Motz,Tom Rooke,
78,Mégantic—L’Érable—Lotbinière,Réjean Hurteau,,Gabriel D'Astous,Luc Berthold,Charles McKaig,
169,Middlesex—London,,,Taylor McIntosh,Lianne Rood,Kent Keenan,
170,Milton East—Halton Hills South,,Walter Hofman,Muhammad Riaz-Sahi,Parm Gill,Kristina Tesser Derksen,
79,Mirabel,Jean-Denis Garon,Christian Montpetit,Albert Batten,Serge Dubord,Robert Fleming,
28,Miramichi—Grand Lake,,,,Mike Dawson,Lisa Harris,
315,Mission—Matsqui—Abbotsford,,,Jules Côte,Brad Vis,Jeff Howe,
171,Mississauga Centre,,,Brandon Nguyen,Tom Ellard,Fares Al Soud,
172,Mississauga East—Cooksville,,Amit Gupta,Khawar Hussain,Muhammad Ishaq,Peter Fonseca,
173,Mississauga—Erin Mills,,Michael Bayer,Ehab Mustapha,Nita Kang,Iqra Khalid,
174,Mississauga—Lakeshore,,Fahad Rao,Evelyn Butler,Milad Mikael,Charles Sousa,
175,Mississauga—Malton,,Nathan Quinlan,Inderjeetsingh Ailsinghani,Jaspreet Sandhu,Iqwinder Singh Gaheer,
176,Mississauga—Streetsville,,Logan Araujo,Bushra Asghar,Sue McFadden,Rechie Valdez,
29,Moncton—Dieppe,,,Serge Landry,Jocelyn Dionne,Ginette Petitpas Taylor,
81,Mont-Saint-Bruno—L’Acadie,Noémie Rouillard,Patrick Rochon,Mirabelle Leins,Nicolas Godin,Bienvenu-Olivier Ntumba,
82,Montcalm,Luc Thériault,,Denis Perreault,Jean-Sébastien Lepage,Fatima Badran,
83,Montmorency—Charlevoix,Caroline Desbiens,Bart Cortenbach,,Gabriel Hardy,Alex Ouellet-Bélanger,
250,Moose Jaw—Lake Centre—Lanigan,,Chey Craik,Britt Baumann,Fraser Tolmie,Tabitha Mukamusoni,
80,Mount Royal,Yegor Komarov,,Adam Frank,Neil Oberman,Anthony Housefather,
316,Nanaimo—Ladysmith,,,Lisa Marie Barron,Tamara Kronis,Michelle Corfield,Paul Manly
177,Nepean,,Eric Fleury,Shyam Shukla,Barbara Bal,Mark Carney,
179,New Tecumseth—Gwillimbury,,Paul Montague,Nancy Morrison,Scot Davidson,Mike Hanrahan,
317,New Westminster—Burnaby—Maillardville,,,Peter Julian,Indy Panchi,Jake Sawatzky,
178,Newmarket—Aurora,,,Anna Gollen,Sandra Cobeña,Jennifer McLachlan,
180,Niagara Falls—Niagara-on-the-Lake,,Dinah Althorpe,Shannon Mitchell,Tony Baldinelli,Andrea Kaiser,
181,Niagara South,,,Chantal McCollum,Fred Davies,Vance Badawey,
182,Niagara West,,Ryan Anderson,Justin Abando,Dean Allison,Jennifer Korstanje,
183,Nipissing—Timiskaming,,John Janssen,Valerie Kennedy,Garry Keller,Pauline Rochefort,
318,North Island—Powell River,,Paul Macknight,Tanille Johnston,Aaron Gunn,Jennifer Lash,Jessica Wegg
319,North Vancouver—Capilano,,Ehsan Arjmand,Tammy Bentz,Stephen Curran,Jonathan Wilkinson,
184,Northumberland—Clarke,,Lisa Bradburn,Ava Becker,Philip Lawrence,John Goheen,
342,Northwest Territories,,,Kelvin Kotchilea,Kimberly Fairman,Rebecca Alty,Rainbow Eyes
84,Notre-Dame-de-Grâce—Westmount,Félix-Antoine Brault,Marc Perez,Malcolm Lewis-Richmond,Neil Drabkin,Anna Gainey,
343,Nunavut,,,ᓘᕆ ᐃᓪᓚᐅᖅ Lori Idlout,James T. Arreak,Kilikvak Kabloona,
185,Oakville East,,Henry Karabela,Hailey Ford,Ron Chhinzer,Anita Anand,
186,Oakville West,,JD Meaney,Diane Downey,Tim Crowder,Sima Acan,
320,Okanagan Lake West—South Kelowna,,,Harpreet Badohal,Dan Albas,Juliette Sicotte,
187,Orléans,,Tafiqul Abu Mohammad,Oulai B. Goué,Steve Mansour,Marie-France Lalonde,
188,Oshawa,,,Sara Labelle,Rhonda Kirkland,Isaac Ransom,
189,Ottawa Centre,,,Joel Harden,Paul D'Orsonnens,Yasir Naqvi,
190,Ottawa South,,,Hena Masjedee,Blair Turner,David McGuinty,
192,Ottawa West—Nepean,,Glen Armstrong,Josh Bizjak,Ryan Telford,Anita Vandenbeld,
191,Ottawa—Vanier—Gloucester,,,Tristan Oliff,Dean Wythe,Mona Fortier,
85,Outremont,Rémi Lebeuf,,Ève Péclet,Ronan Reich,Rachel Bendayan,Jonathan Pedneault
193,Oxford,,Steven Beausoleil,Matthew Chambers,Arpan Khanna,David Hilderley,
86,Papineau,Sophy Forget Bélec,Noah Cherney,Niall Ricardo,Julio Rivera,Marjorie Michel,
291,Parkland,,Jason Lavigne,Keri Goad,Dane Lloyd,Ashley Fearnall,
194,Parry Sound—Muskoka,,Isabel Pereira,,Scott Aitchison,Geordie Sabbagh,
292,Peace River—Westlock,,,Landen Tischer,Arnold Viersen,Luke Markowski,
195,Perth—Wellington,,Wayne Baker,Kevin Kruchkywich,John Nater,David Mackey,
196,Peterborough,,Jami-Leigh McMaster,Heather Ray,Michelle Ferreri,Emma Harrison,
197,Pickering—Brooklin,,Lisa Robinson,Jamie Nye,Alicia Vianga,Juanita Nathan,
87,Pierre-Boucher—Les Patriotes—Verchères,Xavier Barsalou-Duval,Alexandre Blais,,Vincent Kunda,Laurent de Casanove,
88,Pierrefonds—Dollard,Katrina Archambault,Gordon Nash,Kakou Richard Kouassi,Tanya Toledano,Sameer Zuberi,
321,Pitt Meadows—Maple Ridge,,Chris Lehner,Daniel Heydenrych,Marc Dalton,Angie Rowell,
293,Ponoka—Didsbury,,Larry Gratton,Logan Hooley,Blaine Calkins,,
89,Pontiac—Kitigan Zibi,Suzanne Proulx,Todd Hoffman,Gilbert W. Whiteduck,Brian Nolan,Sophie Chatel,
322,Port Moody—Coquitlam,,,Bonita Zarrillo,Paul Lambert,Zoe Royer,
237,Portage—Lisgar,,Kevin Larson,Lisa Tessier,Branden Leslie,Robert Kreis,
90,Portneuf—Jacques-Cartier,Christian Hébert,Simon Frenette,,Joel Godin,Antonin Leroux,
198,Prescott—Russell—Cumberland,,Deborah Perrier,Ryder Finlay,Julie Seguin,Giovanna Mingarelli,
251,Prince Albert,,,Virginia Kutzan,Randy Hoback,Christopher Hadubiak,
323,Prince George—Peace River—Northern Rockies,,,Cory Longley,Bob Zimmer,Peter Njenga,
238,Provencher,,Noel Gautron,Brandy Schmidt,Ted Falk,Trevor Kirczenow,
91,Québec Centre,Simon Bérubé,Daniel Brisson,Tommy Bureau,Chanie Thériault,Jean-Yves Duclos,
294,Red Deer,,Kyla Courte,Elias Assefa,Burton Bailey,Ayaz Bangash,
252,Regina—Lewvan,,Godwin Ezizor,Ray Aldinger,Warren Steinley,Mac Hird,
253,Regina—Qu'Appelle,,Dionne Fehler,Chris Simmie,Andrew Scheer,Rahima Mian,
254,Regina—Wascana,,Peter Bruce,Kaitlyn Stadnyk,Michael Kram,Jeffrey Walters,
92,Repentigny,Patrick Bonin,Benoit Lanoue,Nathalie Gagnon,Charles Champagne,Pierre Richard Thomas,
324,Richmond Centre—Marpole,,,Martin Li,Chak Au,Wilson Miao,
325,Richmond East—Steveston,,,Keefer Pelech,Zach Segal,Parm Bains,
199,Richmond Hill South,,,Ebrahim Astaraki,Vincent Ho,Majid Jowhari,
93,Richmond—Arthabaska,Daniel Lebel,Philippe D'Arcangeli,Nataël Bureau,Eric Lefebvre,Alain Saint-Pierre,
239,Riding Mountain,,Jim Oliver,Andrew Maxwell,Dan Mazier,Terry Hayward,
94,Rimouski—La Matapédia,Maxime Blanchette-Joncas,Taraneh Javanbakht,Salomé Salvain,Nancy Joannette,Alexander Reford,
95,Rivière-des-Mille-Îles,Luc Desilets,,,Elia Lopez,Linda Lapointe,
96,Rivière-du-Nord,Rhéal Éloi Fortin,,,Patricia Morrisette,Mary-Helen Walton,
97,Rosemont—La Petite-Patrie,Olivier Gignac,,Alexandre Boulerice,Laetitia Tchatat,Jean-Sébastien Vallée,
326,Saanich—Gulf Islands,,,Colin Plant,Cathie Ounsted,David Beckham,Elizabeth May
20,Sackville—Bedford—Preston,,,Isaac Wilson,Dave Carroll,Braedon Clark,
30,Saint John—Kennebecasis,,,,Melissa Young,Wayne Long,
31,Saint John—St. Croix,,,Andrew Hill,John Williamson,Karen Ludwig,
98,Saint-Hyacinthe—Bagot—Acton,Simon-Pierre Savard-Tremblay,Sylvain Pariseau,Raymonde Plamondon,Gaëtan Deschênes,Mélanie Bedard,
99,Saint-Jean,Christine Normandin,Tchad Deschenes,Danielle Dubuc,Marie Louis-Seize,Patrick Agbokou,
100,Saint-Laurent,Marielle Gendron,Manon Chevalier,Ryan Byrne,Richard Serour,Emmanuella Lambropoulos,
101,Saint-Léonard—Saint-Michel,Laurie Lelacheur,Caroline Mailloux,Marwan El Attar,Panagiota Koroneos,Patricia Lattanzio,
102,Saint-Maurice—Champlain,Thierry Bilodeau,David Rioux,,Pierre-Augustin Allard,François-Philippe Champagne,
200,Sarnia—Lambton—Bkejwanong,,Brian Everaert,Lo-Anne Chan,Marilyn Gladu,George Vandenberg,
255,Saskatoon South,,,Jacob Gadzella,Kevin Waugh,Rokhan Sarwar,
257,Saskatoon West,,,Melissa McGillivray,Brad Redekopp,Chad Eggerman,Naomi Hunter
