riding_id,riding_name,inc_fname,inc_lname,con_can
303,Cloverdale—Langley City,Tamara,Jansen,Tamara Jansen
304,Columbia—Kootenay—Southern Rockies,,,Rob Morrison
51,Compton—Stanstead,Marie-Claude,Bibeau,Jaques Painchaud
305,Coquitlam—Port Coquitlam,Ron,McKinnon,Iain Black
52,Côte-du-Sud—Rivière-du-Loup—Kataskomiq—Témiscouata,,,Bernard Genereux
53,Côte-Nord—Kawawachikamach—Nitassinan,,,Melanie Dorion
306,Courtenay—Alberni,Gord,Johns,Kris McNichol
307,Cowichan—Malahat—Langford,Alistair,MacGregor,Jeffrey Kibble
15,Cumberland—Colchester,Stephen,Ellis,Stephen Ellis
16,Dartmouth—Cole Harbour,Darren,Fisher,Isabelle Obeid
132,Davenport,Julie,Dzerowicz,Francis Lavoie
308,Delta,Carla,Qualtrough,Jessy Sahota
249,Desnethé—Missinippi—Churchill River,Gary,Vidal,Jim Lemaigre
133,Don Valley North,Han,Dong,Joe Tay
134,Don Valley West,Robert,Oliphant,Robert Pierce
54,Dorval—Lachine—LaSalle,Anju,Dhillon,Alioune Sarr
55,Drummond,Martin,Champoux,François Fréchette
135,Dufferin—Caledon,Kyle,Seeback,Kyle Seeback
275,Edmonton Centre,Randy,Boissonnault,Sayid Ahmed
276,Edmonton Gateway,,,Tim Uppal
277,Edmonton Griesbach,Blake,Desjarlais,Kerry Diotte
278,Edmonton Manning,Ziad,Aboultaif,Ziad Aboultaif
279,Edmonton Northwest,,,Billy Morin
280,Edmonton Riverbend,Matt,Jeneroux,Matt Jeneroux
281,Edmonton Southeast,,,Jagsharan Singh Mahal
282,Edmonton Strathcona,Heather,McPherson,Miles Berry
283,Edmonton West,Kelly,McCauley,Kelly McCauley
136,Eglinton—Lawrence,Marco,Mendicino,Karen Stintz
10,Egmont,Robert,Morrissey,Logan McLellan
137,Elgin—St. Thomas—London South,,,Andrew Lawton
235,Elmwood—Transcona,Leila,Dance,Colin Reynolds
309,Esquimalt—Saanich—Sooke,vacant,,Grant Cool
138,Essex,Chris,Lewis,Chris Lewis
139,Etobicoke Centre,Yvan,Baker,Ted Opitz
141,Etobicoke North,Kirsty,Duncan,
140,Etobicoke—Lakeshore,James,Maloney,Bernard Trottier
142,Flamborough—Glanbrook—Brant North,,,Dan Muys
310,Fleetwood—Port Kells,Ken,Hardie,Sukh Pandher
284,Foothills,John,Barlow,John Barlow
285,Fort McMurray—Cold Lake,Laila,Goodridge,Laila Goodridge
25,Fredericton—Oromocto,,,Brian MacDonald
26,Fundy Royal,Rob,Moore,Rob Moore
56,Gaspésie—Les Îles-de-la-Madeleine—Listuguj,,,Jean-Pierre Pigeon
57,Gatineau,Steven,MacKinnon,Kethlande Pierre
286,Grande Prairie,,,Chris Warkentin
143,Guelph,Lloyd,Longfield,Gurvir Khaira
144,Haldimand—Norfolk,Leslyn,Lewis,Leslyn Lewis
145,Haliburton—Kawartha Lakes,Jamie,Schmale,Jamie Schmale
17,Halifax,vacant,,Mark Boudreau
18,Halifax West,Lena Metlege,Diab,Rob Batherson
146,Hamilton Centre,Matthew,Green,Hayden Lawrence
147,Hamilton East—Stoney Creek,Chad,Collins,Ned Kuruc
148,Hamilton Mountain,Lisa,Hepfner,Ken Hewitt
149,Hamilton West—Ancaster—Dundas,Filomena,Tassi,Erika Alexander
150,Hastings—Lennox and Addington—Tyendinaga,,,Shelby Kramp-Neuman
58,Hochelaga—Rosemont-Est,,,Carl Belley
59,Honoré-Mercier,vacant,,Ingrid Fernanda Megni
60,Hull—Aylmer,Greg,Fergus,Jill Declare
151,Humber River—Black Creek,Judy A.,Sgro,Bijay Paudel
152,Huron—Bruce,Ben,Lobb,Ben Lobb
61,Joliette—Manawan,,,Pascal Bapfou Vozang Siewe
62,Jonquière,Mario,Simard,Fanny Boulanger
311,Kamloops—Shuswap—Central Rockies,,,Mel Arnold
312,Kamloops—Thompson—Nicola,,,Frank Caputo
153,Kanata,Jenna,Sudds,Greg Kung
154,Kapuskasing—Timmins—Mushkegowuk,,,Gaetan Malette
313,Kelowna,,,Tracy Gray
155,Kenora—Kiiwetinoong,,,Eric Melillo
236,Kildonan—St. Paul,Raquel,Dancho,Raquel Dancho
157,King—Vaughan,Anna,Roberts,Anna Roberts
19,Kings—Hants,Kody,Blois,Joel Hirtle
156,Kingston and the Islands,Mark,Gerretsen,Bryan Paterson
158,Kitchener Centre,Mike,Morrice,Kelly DeRidder
160,Kitchener South—Hespeler,Valerie,Bradford,Matt Strauss
159,Kitchener—Conestoga,Tim,Morrison,Doug Treleaven
63,La Pointe-de-l'Île,Mario,Beaulieu,Ludovic Tuzet
64,La Prairie—Atateken,,,Dave Pouliot
4,Labrador,Yvonne,Jones,Ella Wallace
65,Lac-Saint-Jean,Alexis,Brunelle-Duceppe,Dave Blackburn
66,Lac-Saint-Louis,Francis,Scarpaleggia,Matthew Rusniak
287,Lakeland,Shannon,Rood,Shannon Stubbs
161,Lanark—Frontenac,Scott,Reid,Scott Reid
314,Langley Township—Fraser Heights,,,Tako van Popta
67,LaSalle—Émard—Verdun,Louis-Philippe,Sauvé,Zsolt Fischer
68,Laurentides—Labelle,Marie-Hélène,Gaudreau,Daniel Paquette 
69,Laurier—Sainte-Marie,Steven,Guilbeault,Mauro Gatti
70,Laval—Les Îles,Fayçal,El-Khoury,Konstantinos Merakos
288,Leduc—Wetaskiwin,,,Mike Lake
162,Leeds—Grenville—Thousand Islands—Rideau Lakes,Michael,Barrett,Michael Barrett
71,Les Pays-d'en-Haut,,,Vincent Leroux
289,Lethbridge,Rachael,Thomas,Rachael Thomas
72,Lévis—Lotbinière,Jacques,Gourde,Jacques Gourde
163,London Centre,,,Stephen Gallant
165,London West,Arielle,Kayabaga,Adam Benni
164,London—Fanshawe,Lindsay,Mathyssen,Kurt Holman
5,Long Range Mountains,Gudie,Hutchings,Carol Anstey
73,Longueuil—Charles-LeMoyne,Sherry,Romanado,Martine Boucher
74,Longueuil—Saint-Hubert,Denis,Trudel,Claude Dussault
75,Louis-Hébert,Joël,Lightbound,
76,Louis-Saint-Laurent—Akiawenhrahk,Gérard,Deltell,Gerard Deltell
27,Madawaska—Restigouche,René,Arseneault,Michel Morin
11,Malpeque,Heath,Gill,Jamie Fox
77,Marc-Aurèle-Fortin,Yves,Robillard,Janina Moran
166,Markham—Stouffville,Helena,Jaczek,Niran Jeyanesan
167,Markham—Thornhill,Mary,Ng,Lionel Loganathan
168,Markham—Unionville,Paul,Chiang,Michael Ma
290,Medicine Hat—Cardston—Warner,Glen,Motz,Glen Motz
78,Mégantic—L’Érable—Lotbinière,,,Luc Berthold
169,Middlesex—London,,,Lianne Rood
170,Milton East—Halton Hills South,,,Parm Gill
79,Mirabel,Jean-Denis,Garon,Serge Dubord
28,Miramichi—Grand Lake,Jake,Stewart,Mike Dawson
315,Mission—Matsqui—Abbotsford,,,Brad Vis
171,Mississauga Centre,Omar,Alghabra,Muhammed Ishaq
172,Mississauga East—Cooksville,Peter,Fonseca,Nita Kang
173,Mississauga—Erin Mills,Iqra,Khalid,Milad Mikael
174,Mississauga—Lakeshore,Charles,Sousa,Tom Ellard
175,Mississauga—Malton,Iqwinder,Gaheer,Jaspreet Sandhu
176,Mississauga—Streetsville,Rechie,Valdez,Sue McFadden
29,Moncton—Dieppe,,,Jocelyn Dionne
81,Mont-Saint-Bruno—L’Acadie,,,Nicolas Godin
82,Montcalm,Luc,Généreux,Jean-Sébastien Lepage
83,Montmorency—Charlevoix,,,Gabriel Hardy 
250,Moose Jaw—Lake Centre—Lanigan,Fraser,Tolmie,Fraser Tolmie
80,Mount Royal,Anthony,Housefather,Neil Oberman
316,Nanaimo—Ladysmith,Lisa Marie,Barron,Tamara Kronis
177,Nepean,Chandra,Pasma,Barbara Bal
179,New Tecumseth—Gwillimbury,,,Scot Davidson
317,New Westminster—Burnaby—Maillardville,Peter,Julian,
178,Newmarket—Aurora,Tony,Badawey,Sandra Cobeña
180,Niagara Falls—Niagara-on-the-Lake,,,Tony Baldinelli
181,Niagara South,,,Fred Davies
182,Niagara West,Dean,Allison,Dean Allison
183,Nipissing—Timiskaming,Anthony,Rota,Garry Keller
318,North Island—Powell River,Rachel,Blaney,Aaron Gunn
319,North Vancouver—Capilano,,,Stephen Curran
184,Northumberland—Clarke,,,Philip Lawrence
342,Northwest Territories,Michael,McLeod,Kimberly Fairman
84,Notre-Dame-de-Grâce—Westmount,Anna,Gainey,Neil Drabkin
343,Nunavut,Lori,Idlout,James T. Arreak
185,Oakville East,,,Ron Chhinzer
186,Oakville West,,,Tim Crowder
320,Okanagan Lake West—South Kelowna,,,Dan Albas
187,Orléans,Marie-France,Lalonde,Steve Mansour
188,Oshawa,Colin,Carrie,Rhonda Kirkland
189,Ottawa Centre,Yasir,Naqvi,Paul D'Orsonnens
190,Ottawa South,David,McGuinty,Blair Turner
192,Ottawa West—Nepean,Anita,Vandenbeld,Ryan Telford
191,Ottawa—Vanier—Gloucester,,,Dean Wythe
85,Outremont,Rachel,Bendayan,Ronan Reich
193,Oxford,Arpan,Khanna,Arpan Khanna
86,Papineau,Justin,Trudeau,
291,Parkland,,,Dane Lloyd
194,Parry Sound—Muskoka,Scott,Aitchison,Scott Aitchison
292,Peace River—Westlock,Arnold,Viersen,Arnold Viersen
195,Perth—Wellington,John,Nater,John Nater
196,Peterborough,,,Michelle Ferreri
197,Pickering—Brooklin,,,Alicia Vianga
87,Pierre-Boucher—Les Patriotes—Verchères,Xavier,Barsalou-Duval,
88,Pierrefonds—Dollard,Sameer,Zuberi,Tanya Toledano
321,Pitt Meadows—Maple Ridge,Marc,Dalton,Marc Dalton
293,Ponoka—Didsbury,,,Blaine Calkins
89,Pontiac—Kitigan Zibi,Sophie,Chatel,Brian Nolan
322,Port Moody—Coquitlam,Bonita,Zarrillo,Paul Lambert
237,Portage—Lisgar,Branden,Leslie,Branden Leslie
90,Portneuf—Jacques-Cartier,Joël,Godin,Joel Godin
198,Prescott—Russell—Cumberland,,,Julie Seguin
251,Prince Albert,Randy,Hoback,Randy Hoback
323,Prince George—Peace River—Northern Rockies,Bob,Zimmer,Bob Zimmer
238,Provencher,Ted,Falk,Ted Falk
91,Québec Centre,,,
294,Red Deer,,,Burton Bailey
252,Regina—Lewvan,Warren,Steinley,Warren Steinley
253,Regina—Qu'Appelle,Andrew,Scheer,Andrew Scheer
254,Regina—Wascana,Michael,Kram,Michael Kram
92,Repentigny,Monique,Pauzé,Charles Champagne
324,Richmond Centre—Marpole,Wilson,Miao,Chak Au
325,Richmond East—Steveston,,,Zach Segel
199,Richmond Hill South,,,Vincent Ho
93,Richmond—Arthabaska,Alain,Rayes,Éric Lefebvre
239,Riding Mountain,,,Dan Mazier
94,Rimouski—La Matapédia,Maxime,Blanchette-Joncas,Nancy Joannette
95,Rivière-des-Mille-Îles,Luc,Desilets,Elia Lopez
96,Rivière-du-Nord,Rhéal Éloi,Fortin,Patricia Morrisette
97,Rosemont—La Petite-Patrie,Alexandre,Boulerice,Laetitia Tchatat
326,Saanich—Gulf Islands,Elizabeth,May,Cathie Ounsted
20,Sackville—Bedford—Preston,Darrell,Samson,Dave Carroll
30,Saint John—Kennebecasis,,,Melissa Young
31,Saint John—St. Croix,,,John Williamson
98,Saint-Hyacinthe—Bagot—Acton,Simon-Pierre,Savard-Tremblay,Gaëtan Deschêsne
99,Saint-Jean,Christine,Normandin,
100,Saint-Laurent,Emmanuella,Lambropoulos,Richard Serour
101,Saint-Léonard—Saint-Michel,Patricia,Lattanzio,
102,Saint-Maurice—Champlain,François-Philippe,Champagne,Pierre-Augustin Allard
200,Sarnia—Lambton—Bkejwanong,,,Marilyn Gladu
255,Saskatoon South,,,Kevin Waugh
257,Saskatoon West,Brad,Redekopp,Brad Redekopp
256,Saskatoon—University,Corey,Tochor,Corey Tochor
201,Sault Ste. Marie—Algoma,,,Hugh Stevenson
203,Scarborough Centre—Don Valley East,,,Belent Mathew
205,Scarborough North,Shaun,Chen,Gurmit Sandhu
206,Scarborough Southwest,Bill,Blair,Asm Tarun
202,Scarborough—Agincourt,Jean,Yip,Aris Movessian
204,Scarborough—Guildwood—Rouge Park,,,Suchita Jalan
207,Scarborough—Woburn,,,Reddy Muttukuru
241,Selkirk—Interlake—Eastman,James,Bezan,James Bezan
103,Shefford,Andréanne,Larouche,James Seale
104,Sherbrooke,Élisabeth,Brière,Esteban Méndez-Hord
295,Sherwood Park—Fort Saskatchewan,Garnett,Genuis,Garnett Genuis
209,Simcoe North,Adam,Chambers,Adam Chambers
208,Simcoe—Grey,Terry,Dowdall,Terry Dowdall
327,Similkameen—South Okanagan—West Kootenay,,,Helena Konanz
328,Skeena—Bulkley Valley,Taylor,Bachrach,Ellis Ross
258,Souris—Moose Mountain,Robert,Kitchen,Steven Bonk
21,South Shore—St. Margarets,Rick,Perkins,Rick Perkins
329,South Surrey—White Rock,Kerry-Lynne,Findlay,Kerry-Lynne Findlay
210,Spadina—Harbourfront,,,Diana Filipova
296,St. Albert—Sturgeon River,,,Michael Cooper
240,St. Boniface—St. Vital,,,Shola Agboola
211,St. Catharines,Chris,Bittle,Bas Sluijmers
6,St. John's East,Joanne,Thompson,David Brazil
212,Stormont—Dundas—Glengarry,Eric,Duncan,Eric Duncan
213,Sudbury,Viviane,Lapointe,Ian Symington
214,Sudbury East—Manitoulin—Nickel Belt,,,Jim Belanger
330,Surrey Centre,Randeep,Sarai,Rajvir Dhillon
331,Surrey Newton,Sukh,Dhaliwal,Harjit Singh Gill
259,Swift Current—Grasslands—Kindersley,,,Jeremy Patzer
22,Sydney—Glace Bay,,,Anna Manley
215,Taiaiako'n—Parkdale—High Park,,,Wladyslaw Lizon
7,Terra Nova—The Peninsulas,Churence,Rogers,Jonathan Rowe
105,Terrebonne,Nathalie,Sinclair-Desgagné,Adrienne Charles
106,Thérèse-De Blainville,Louise,Chabot,Julie Bergeron
216,Thornhill,Melissa,Lantsman,Melissa Lantsman
217,Thunder Bay—Rainy River,Marcus,Powlowski,Brendan Hyatt
218,Thunder Bay—Superior North,Patty,Hajdu,Bob Herman
32,Tobique—Mactaquac,Richard,Bragdon,Richard Bragdon
219,Toronto Centre,Marci,Ien,Luis Ibarra
220,Toronto—Danforth,Julie,Dabrusin,Ashik Hussain
221,Toronto—St. Paul's,Don,Stewart,Don Stewart
107,Trois-Rivières,René,Villemure,Yves Lévesque
222,University—Rosedale,Chrystia,Freeland,Liz Grade
332,Vancouver Centre,Hedy,Fry,Elaine Allan
333,Vancouver East,Jenny,Kwan,Lita Cabal
334,Vancouver Fraserview—South Burnaby,,,
335,Vancouver Granville,Taleeb,Noormohamed,Marie Rogers
336,Vancouver Kingsway,Don,Davies,Ravinder Bhatia
337,Vancouver Quadra,Joyce,Murray,Ken Charko
108,Vaudreuil,Peter,Schiefke,Thomas Barré
223,Vaughan—Woodbridge,Francesco,Sorbara,Michael Guglielmin
338,Vernon—Lake Country—Monashee,,,Scott Anderson
339,Victoria,Laurel,Collins,Angus Ross
109,Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,Marc,Miller,Steve Shanahan
110,Vimy,Annie,Koutrakis,Grace Daou
224,Waterloo,Bardish,Chagger,Waseem Botros
225,Wellington—Halton Hills North,Michael,Chong,Michael Chong
340,West Vancouver—Sunshine Coast—Sea to Sky Country,Patrick,Weiler,Keith Roy
226,Whitby,Ryan,Turnbull,Steve Yamada
227,Willowdale,Ali,Ehsassi,
229,Windsor West,Brian,Masse,Harbinder Gill
228,Windsor—Tecumseh—Lakeshore,,,Kathy Borrelli
242,Winnipeg Centre,Leah,Gazan,Thomas Bambrick
243,Winnipeg North,Kevin,Lamoureux,Rachel Punzalan
244,Winnipeg South,Terry,Duguid,Janice Morley-Lecomte
245,Winnipeg South Centre,Ben,Carr,Royden Brousseau
246,Winnipeg West,Marty,Morantz,Marty Morantz
297,Yellowhead,Gerald,Soroka,William Stevenson
230,York Centre,Ya'ara,Saks,Roman Baber
232,York South—Weston—Etobicoke,,,Nicolas Pham
231,York—Durham,,,Jacob Mantle
260,Yorkton—Melville,Cathay,Wagantall,Cathay Wagantall
341,Yukon,Brendan,Hanley,Ryan Leef
